title,description,priority,category
Missing feature access,User cannot access required features despite having an active account and correct subscription.,High,Account
User deactivation request,Request to deactivate a former employee account as part of offboarding.,Low,Account
Account visibility issue,User account not visible to managers despite correct organizational assignment.,Medium,Account
Profile update not reflected,User updated profile information but changes are not reflected across all sections.,Medium,Account
Profile sync delay,User profile changes delayed due to synchronization lag between systems.,Medium,Account
Account visibility issue,User account not visible to managers despite correct organizational assignment.,Medium,Account
User deactivation request,Request to deactivate a former employee account as part of offboarding.,Low,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Account status mismatch,Account shows active in one area but inactive in another causing confusion.,Medium,Account
Incorrect role assigned,User was assigned an incorrect role granting access to features outside their responsibility.,Critical,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Profile sync delay,User profile changes delayed due to synchronization lag between systems.,Medium,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
Admin ownership transfer needed,Admin ownership needs to be transferred due to role change in organization.,Low,Account
Account visibility issue,User account not visible to managers despite correct organizational assignment.,Medium,Account
Conflicting multiple roles,User assigned multiple roles causing conflicting permissions in application.,High,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
Environment access inconsistent,User has different access levels in staging and production environments.,Medium,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
Missing feature access,User cannot access required features despite having an active account and correct subscription.,High,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Excess permissions granted,User account has been granted broader permissions than intended during onboarding.,Critical,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Incorrect role assigned,User was assigned an incorrect role granting access to features outside their responsibility.,Critical,Account
Role change not applied,Requested role change was approved but has not taken effect in the system.,High,Account
Profile sync delay,User profile changes delayed due to synchronization lag between systems.,Medium,Account
Team membership incorrect,User is assigned to the wrong team affecting visibility of shared resources.,Medium,Account
User reactivation request,Previously deactivated user needs account reactivation for project work.,Low,Account
Account status mismatch,Account shows active in one area but inactive in another causing confusion.,Medium,Account
Incorrect role assigned,User was assigned an incorrect role granting access to features outside their responsibility.,Critical,Account
Account status mismatch,Account shows active in one area but inactive in another causing confusion.,Medium,Account
Profile sync delay,User profile changes delayed due to synchronization lag between systems.,Medium,Account
Conflicting multiple roles,User assigned multiple roles causing conflicting permissions in application.,High,Account
Admin ownership transfer needed,Admin ownership needs to be transferred due to role change in organization.,Low,Account
Incorrect role assigned,User was assigned an incorrect role granting access to features outside their responsibility.,Critical,Account
