title,description,priority,category
Policy violation reported,Internal security policy violation reported without immediate system risk.,Low,Security
Outdated dependency found,Application uses outdated dependency with known vulnerabilities.,Medium,Security
Audit finding logged,Security audit identified non-critical compliance gaps.,Low,Security
Privilege escalation vulnerability,Privilege escalation vulnerability allows standard users to gain admin access.,Critical,Security
Suspicious admin access,Unusual admin login detected from an unfamiliar location.,High,Security
Unusual user behavior flagged,Anomaly detection flagged unusual user behavior requiring investigation.,Medium,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Outdated dependency found,Application uses outdated dependency with known vulnerabilities.,Medium,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Privilege escalation vulnerability,Privilege escalation vulnerability allows standard users to gain admin access.,Critical,Security
Suspicious admin access,Unusual admin login detected from an unfamiliar location.,High,Security
Insecure API endpoint,API endpoint lacks authentication and may be exploited externally.,High,Security
Credential leak suspected,Application credentials accidentally exposed in logs accessible to staff.,High,Security
Audit finding logged,Security audit identified non-critical compliance gaps.,Low,Security
Policy violation reported,Internal security policy violation reported without immediate system risk.,Low,Security
Weak password warning,Users allowed to set weak passwords contrary to policy.,Low,Security
Suspicious admin access,Unusual admin login detected from an unfamiliar location.,High,Security
Repeated failed logins,Multiple consecutive failed login attempts detected for several accounts.,Medium,Security
Account takeover detected,Confirmed account takeover detected with unauthorized password change and suspicious activity.,Critical,Security
Privilege escalation vulnerability,Privilege escalation vulnerability allows standard users to gain admin access.,Critical,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Brute force login attempts,Multiple brute-force login attempts detected from a single IP address.,High,Security
Policy violation reported,Internal security policy violation reported without immediate system risk.,Low,Security
Privilege escalation vulnerability,Privilege escalation vulnerability allows standard users to gain admin access.,Critical,Security
Security controls disabled,Critical security controls were found disabled in production environment.,High,Security
Security controls disabled,Critical security controls were found disabled in production environment.,High,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Data exposed publicly,Sensitive user data exposed due to misconfigured access controls.,Critical,Security
Repeated failed logins,Multiple consecutive failed login attempts detected for several accounts.,Medium,Security
Credential leak suspected,Application credentials accidentally exposed in logs accessible to staff.,High,Security
Malware detected on server,Malware detected on production server indicating possible system compromise.,Critical,Security
Security controls disabled,Critical security controls were found disabled in production environment.,High,Security
Malware detected on server,Malware detected on production server indicating possible system compromise.,Critical,Security
Brute force login attempts,Multiple brute-force login attempts detected from a single IP address.,High,Security
Insecure API endpoint,API endpoint lacks authentication and may be exploited externally.,High,Security
Policy violation reported,Internal security policy violation reported without immediate system risk.,Low,Security
Access review pending,Periodic access review overdue but no misuse detected.,Low,Security
Policy violation reported,Internal security policy violation reported without immediate system risk.,Low,Security
Repeated failed logins,Multiple consecutive failed login attempts detected for several accounts.,Medium,Security
Suspicious admin access,Unusual admin login detected from an unfamiliar location.,High,Security
Audit finding logged,Security audit identified non-critical compliance gaps.,Low,Security
Data exposed publicly,Sensitive user data exposed due to misconfigured access controls.,Critical,Security
Brute force login attempts,Multiple brute-force login attempts detected from a single IP address.,High,Security
Security controls disabled,Critical security controls were found disabled in production environment.,High,Security
