title,description,priority,category
Subscription payment failed,Billing information not updated after payment.,High,Billing
Charged twice for same order,Transaction declined despite sufficient balance.,Critical,Billing
Billing error,Subscription payment did not go through on renewal.,Low,Billing
Payment gateway timeout,Subscription payment did not go through on renewal.,High,Billing
Transaction declined,Transaction declined despite sufficient balance.,High,Billing
Invoice issue,Subscription payment did not go through on renewal.,Medium,Billing
Invoice issue,Payment gateway timed out during checkout.,Medium,Billing
Charged twice for same order,Refund was initiated but not received even after expected time.,Critical,Billing
Refund not received,Subscription payment did not go through on renewal.,Medium,Billing
Billing error,Payment gateway timed out during checkout.,Low,Billing
Subscription payment failed,Refund was initiated but not received even after expected time.,High,Billing
Refund not received,User reports payment failure while placing the order.,Medium,Billing
Payment gateway timeout,Transaction declined despite sufficient balance.,High,Billing
Refund not received,User reports payment failure while placing the order.,Medium,Billing
Charged twice for same order,User reports payment failure while placing the order.,Critical,Billing
Billing error,Unexpected charge appears on user's billing statement.,Critical,Billing
Billing error,Amount was deducted from bank but order status shows failed.,Critical,Billing
Unexpected charge on account,Payment gateway timed out during checkout.,Critical,Billing
Payment failed,Transaction declined despite sufficient balance.,High,Billing
Billing error,Subscription payment did not go through on renewal.,Low,Billing
Charged twice for same order,Transaction declined despite sufficient balance.,Critical,Billing
Payment gateway timeout,Billing information not updated after payment.,High,Billing
Amount deducted but order failed,Unexpected charge appears on user's billing statement.,Critical,Billing
Unexpected charge on account,Refund was initiated but not received even after expected time.,Critical,Billing
Invoice issue,Unexpected charge appears on user's billing statement.,Critical,Billing
Invoice issue,Billing information not updated after payment.,Medium,Billing
Unexpected charge on account,Invoice generated with incorrect amount.,Critical,Billing
Amount deducted but order failed,Amount was deducted from bank but order status shows failed.,Critical,Billing
Invoice issue,Payment gateway timed out during checkout.,Medium,Billing
Amount deducted but order failed,User reports payment failure while placing the order.,Critical,Billing
Billing error,Billing information not updated after payment.,Low,Billing
Transaction declined,User reports payment failure while placing the order.,High,Billing
Amount deducted but order failed,Amount was deducted from bank but order status shows failed.,Critical,Billing
Unexpected charge on account,Amount was deducted from bank but order status shows failed.,Critical,Billing
Transaction declined,Payment gateway timed out during checkout.,High,Billing
Unexpected charge on account,Subscription payment did not go through on renewal.,Critical,Billing
Billing error,User charged twice for a single transaction.,Critical,Billing
Transaction declined,Subscription payment did not go through on renewal.,High,Billing
Invoice issue,Subscription payment did not go through on renewal.,Medium,Billing
Unexpected charge on account,Refund was initiated but not received even after expected time.,Critical,Billing
Transaction declined,User charged twice for a single transaction.,Critical,Billing
Invoice issue,Billing information not updated after payment.,Medium,Billing
Transaction declined,Refund was initiated but not received even after expected time.,High,Billing
Payment failed,Transaction declined despite sufficient balance.,High,Billing
Payment gateway timeout,Payment gateway timed out during checkout.,High,Billing
Unexpected charge on account,User charged twice for a single transaction.,Critical,Billing
Charged twice for same order,Amount was deducted from bank but order status shows failed.,Critical,Billing
Billing error,Amount was deducted from bank but order status shows failed.,Critical,Billing
