title,description,priority,category
Disk IO bottleneck,High disk IO wait times causing severe performance degradation across services.,High,Infrastructure
Kubernetes node failure,One Kubernetes worker node failed causing partial service disruption.,High,Infrastructure
Container runtime error,Container runtime failure causing multiple services to restart unexpectedly.,High,Infrastructure
Cache service outage,In-memory cache service is unavailable resulting in increased latency.,High,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Resource quota exceeded,Cloud resource quota exceeded preventing new instances from launching.,High,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Filesystem corruption detected,Filesystem corruption detected on storage volume risking data integrity.,Critical,Infrastructure
Kubernetes node failure,One Kubernetes worker node failed causing partial service disruption.,High,Infrastructure
Autoscaling not triggered,Autoscaling failed to add instances during traffic spike leading to degraded performance.,High,Infrastructure
Monitoring agent failure,Infrastructure monitoring agent stopped reporting metrics but services remain stable.,Low,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
CPU saturation detected,Sustained CPU saturation causing slow response times for users.,Medium,Infrastructure
Kubernetes node failure,One Kubernetes worker node failed causing partial service disruption.,High,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Resource quota exceeded,Cloud resource quota exceeded preventing new instances from launching.,High,Infrastructure
Backup job failed,Scheduled backup job failed leaving recent data unprotected.,Medium,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Disk IO bottleneck,High disk IO wait times causing severe performance degradation across services.,High,Infrastructure
Message queue down,Message queue service outage causing background jobs to stall.,High,Infrastructure
Maintenance overrun,Planned infrastructure maintenance exceeded window causing temporary downtime.,Low,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Kubernetes node failure,One Kubernetes worker node failed causing partial service disruption.,High,Infrastructure
Resource quota exceeded,Cloud resource quota exceeded preventing new instances from launching.,High,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
CPU saturation detected,Sustained CPU saturation causing slow response times for users.,Medium,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Backup job failed,Scheduled backup job failed leaving recent data unprotected.,Medium,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Resource quota exceeded,Cloud resource quota exceeded preventing new instances from launching.,High,Infrastructure
Cache service outage,In-memory cache service is unavailable resulting in increased latency.,High,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
CPU saturation detected,Sustained CPU saturation causing slow response times for users.,Medium,Infrastructure
Backup job failed,Scheduled backup job failed leaving recent data unprotected.,Medium,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
CPU saturation detected,Sustained CPU saturation causing slow response times for users.,Medium,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Message queue down,Message queue service outage causing background jobs to stall.,High,Infrastructure
Kubernetes node failure,One Kubernetes worker node failed causing partial service disruption.,High,Infrastructure
Filesystem corruption detected,Filesystem corruption detected on storage volume risking data integrity.,Critical,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Container runtime error,Container runtime failure causing multiple services to restart unexpectedly.,High,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Cloud service degradation,Cloud provider reports degraded performance for managed infrastructure services.,Medium,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Autoscaling not triggered,Autoscaling failed to add instances during traffic spike leading to degraded performance.,High,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
Production server down,Primary production server is completely down due to hardware failure causing total service outage.,Critical,Infrastructure
Container runtime error,Container runtime failure causing multiple services to restart unexpectedly.,High,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Backup job failed,Scheduled backup job failed leaving recent data unprotected.,Medium,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
Filesystem corruption detected,Filesystem corruption detected on storage volume risking data integrity.,Critical,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
Resource quota exceeded,Cloud resource quota exceeded preventing new instances from launching.,High,Infrastructure
Autoscaling not triggered,Autoscaling failed to add instances during traffic spike leading to degraded performance.,High,Infrastructure
Disk IO bottleneck,High disk IO wait times causing severe performance degradation across services.,High,Infrastructure
Node hardware degradation,Hardware degradation detected on compute node causing intermittent failures.,Medium,Infrastructure
Disk IO bottleneck,High disk IO wait times causing severe performance degradation across services.,High,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Disk IO bottleneck,High disk IO wait times causing severe performance degradation across services.,High,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Container runtime error,Container runtime failure causing multiple services to restart unexpectedly.,High,Infrastructure
Database unavailable,Database service is unreachable leading to application-wide failures.,Critical,Infrastructure
Maintenance overrun,Planned infrastructure maintenance exceeded window causing temporary downtime.,Low,Infrastructure
Memory exhaustion on nodes,Multiple compute nodes experiencing memory exhaustion leading to process restarts.,High,Infrastructure
Backup job failed,Scheduled backup job failed leaving recent data unprotected.,Medium,Infrastructure
Maintenance overrun,Planned infrastructure maintenance exceeded window causing temporary downtime.,Low,Infrastructure
CPU saturation detected,Sustained CPU saturation causing slow response times for users.,Medium,Infrastructure
Storage capacity exhausted,Storage volume has reached full capacity causing write operations to fail.,High,Infrastructure
Monitoring agent failure,Infrastructure monitoring agent stopped reporting metrics but services remain stable.,Low,Infrastructure
Restore process stuck,Data restore process stuck due to infrastructure resource limitations.,Medium,Infrastructure
Platform dependency outage,Dependent platform service outage impacting core infrastructure components.,High,Infrastructure
