title,description,priority,category
Load balancer misrouting,Load balancer routes requests to unhealthy instances causing failures.,Critical,Network
Gateway rate limiting,Network gateway rate limiting causes delayed API responses but service remains usable.,Low,Network
Proxy configuration error,Proxy server misconfiguration prevents requests from reaching backend services.,High,Network
High network latency,Application responses delayed significantly due to high network latency.,Medium,Network
Firewall blocking traffic,Firewall rules blocking outbound application traffic in corporate networks.,High,Network
Gateway rate limiting,Network gateway rate limiting causes delayed API responses but service remains usable.,Low,Network
Load balancer misrouting,Load balancer routes requests to unhealthy instances causing failures.,Critical,Network
WebSocket disconnects,WebSocket connections disconnect after short duration during real-time updates.,High,Network
Service unreachable in region,Complete service outage reported in specific geographic region due to network routing failure.,Critical,Network
WebSocket disconnects,WebSocket connections disconnect after short duration during real-time updates.,High,Network
VPN connection unstable,VPN connections drop intermittently causing application sessions to disconnect.,Medium,Network
Proxy configuration error,Proxy server misconfiguration prevents requests from reaching backend services.,High,Network
Mobile network unstable,Application loses connectivity frequently on mobile networks despite good signal.,Medium,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Firewall blocking traffic,Firewall rules blocking outbound application traffic in corporate networks.,High,Network
Service unreachable in region,Complete service outage reported in specific geographic region due to network routing failure.,Critical,Network
Load balancer misrouting,Load balancer routes requests to unhealthy instances causing failures.,Critical,Network
VPN connection unstable,VPN connections drop intermittently causing application sessions to disconnect.,Medium,Network
DNS lookup failing,DNS resolution fails for application domain causing users to be unable to reach the service.,Critical,Network
Proxy configuration error,Proxy server misconfiguration prevents requests from reaching backend services.,High,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Firewall blocking traffic,Firewall rules blocking outbound application traffic in corporate networks.,High,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Service unreachable in region,Complete service outage reported in specific geographic region due to network routing failure.,Critical,Network
High network latency,Application responses delayed significantly due to high network latency.,Medium,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Intermittent connectivity drops,Users experience frequent disconnections while using the application over stable internet.,High,Network
Mobile network unstable,Application loses connectivity frequently on mobile networks despite good signal.,Medium,Network
Service unreachable in region,Complete service outage reported in specific geographic region due to network routing failure.,Critical,Network
Intermittent connectivity drops,Users experience frequent disconnections while using the application over stable internet.,High,Network
Firewall blocking traffic,Firewall rules blocking outbound application traffic in corporate networks.,High,Network
WebSocket disconnects,WebSocket connections disconnect after short duration during real-time updates.,High,Network
DNS lookup failing,DNS resolution fails for application domain causing users to be unable to reach the service.,Critical,Network
Proxy configuration error,Proxy server misconfiguration prevents requests from reaching backend services.,High,Network
Gateway rate limiting,Network gateway rate limiting causes delayed API responses but service remains usable.,Low,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Intermittent connectivity drops,Users experience frequent disconnections while using the application over stable internet.,High,Network
Intermittent connectivity drops,Users experience frequent disconnections while using the application over stable internet.,High,Network
Packet loss during upload,File uploads suffer packet loss resulting in slow or failed transfers.,Medium,Network
Packet loss during upload,File uploads suffer packet loss resulting in slow or failed transfers.,Medium,Network
Packet loss during upload,File uploads suffer packet loss resulting in slow or failed transfers.,Medium,Network
Packet loss during upload,File uploads suffer packet loss resulting in slow or failed transfers.,Medium,Network
Intermittent connectivity drops,Users experience frequent disconnections while using the application over stable internet.,High,Network
SSL handshake failure,SSL/TLS handshake fails for some clients due to certificate chain issues.,High,Network
Service unreachable in region,Complete service outage reported in specific geographic region due to network routing failure.,Critical,Network
SSL handshake failure,SSL/TLS handshake fails for some clients due to certificate chain issues.,High,Network
DNS lookup failing,DNS resolution fails for application domain causing users to be unable to reach the service.,Critical,Network
Regional ISP outage,Users affected by regional ISP outage cannot access the service.,Critical,Network
Firewall blocking traffic,Firewall rules blocking outbound application traffic in corporate networks.,High,Network
Gateway rate limiting,Network gateway rate limiting causes delayed API responses but service remains usable.,Low,Network
High network latency,Application responses delayed significantly due to high network latency.,Medium,Network
Gateway rate limiting,Network gateway rate limiting causes delayed API responses but service remains usable.,Low,Network
Proxy configuration error,Proxy server misconfiguration prevents requests from reaching backend services.,High,Network
